Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Data),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
Payment - Họ tên không được có ký tự đặc biệt,NC-50,10407,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:57 PM,03/Jan/23 4:57 PM,20/Mar/23 2:21 PM,,,0,Payment,Họ tên không được có ký tự đặc biệt,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Không như mong đợi,,,,,,,,,B9-215,Payment,,,Thông báo họ tên không bắt đầu bằng ký tự đặc biệt,,,,,0|i0029r:,,,,,,,,,,,Integratiom,Họ tên: @abc,Fail,,,To Do
Payment - Địa chỉ không được để trống,NC-49,10406,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:55 PM,03/Jan/23 4:55 PM,03/Jan/23 4:55 PM,,,0,Payment,Địa chỉ không được để trống,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Không như mong đợ,,,,,,,,,B9-215,Payment,,,Thông báo địa chỉ không được để trống,,,,,0|i0029j:,,NC Sprint 3,,,,,,,,,Integratiom,Không nhập địa chỉ,Fail,,,To Do
Payment - Số điện thoại không được để trống,NC-48,10405,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:53 PM,03/Jan/23 4:53 PM,03/Jan/23 4:53 PM,,,0,Payment,Số điện thoại không được để trống,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Không như mong đợi,,,,,,,,,B9-215,Payment,,,Thông báo số điện thoại không được để trống,,,,,0|i0029b:,,NC Sprint 3,,,,,,,,,Integratiom,Để trống số điện thoại,Fail,,,To Do
Payment-Họ và tên không được để trống,NC-47,10404,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:51 PM,03/Jan/23 4:51 PM,03/Jan/23 4:51 PM,,,0,Payment,Họ và tên không được để trống,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,"Không như mong đợi, không hiện thông báo",,,,,,,,,B9-215,Payment,,,Thông báo Họ và Tên không được để trống,,,,,0|i00293:,,NC Sprint 3,,,,,,,,,Integratiom,Để trống họ và tên,Fail,,,To Do
Hades-Payment-xóa thông tin khách hàng trong giỏ hàng,NC-46,10403,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,Lập TT,638ee6f0fde064eda2f21e3e,Lập TT,638ee6f0fde064eda2f21e3e,03/Jan/23 4:44 PM,03/Jan/23 4:46 PM,03/Jan/23 4:49 PM,,,0,Payment,xóa thông tin khách hàng trong giỏ hàng,,Lập TT,638ee6f0fde064eda2f21e3e,,,,,,,,,,,,,,,NC-44,,đặt hàng được ,,,,,,,,,B9-215,Payment,,,như mong đơi ,,,,,0|i0028v:,,NC Sprint 3,,,,,,,,,Integratiom,"bắt buộc thêm thông tin :Tỉnh/Thành Phố ,Quận/Huyện ,Phường/Xã
xóa thông tin khách hàng trong giỏ hàng",Skip,,,To Do
Hades-Payment- khi không thêm thông tin bắt buộc khi mua hàng,NC-45,10402,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,Lập TT,638ee6f0fde064eda2f21e3e,Lập TT,638ee6f0fde064eda2f21e3e,03/Jan/23 4:38 PM,03/Jan/23 4:47 PM,03/Jan/23 4:49 PM,,,0,Payment, khi không thêm thông tin bắt buộc khi mua hàng,,Lập TT,638ee6f0fde064eda2f21e3e,,,,,,,,,,,,,,,NC-44,,không đặt hàng được ,,,,,,,,,B9-215,Payment,,,hiện lỗi cho người dùng nhập lại  ,,,,,0|i0028n:,,NC Sprint 3,,,,,,,,,Integratiom,"bắt buộc thêm thông tin :Tỉnh/Thành Phố ,Quận/Huyện ,Phường/Xã
nếu thêm đủ thông tin sẽ không đặc được hàng",Pass,,,To Do
Hades-Payment-thêm thông tin bắt buộc khi mua hàng,NC-44,10401,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,Lập TT,638ee6f0fde064eda2f21e3e,Lập TT,638ee6f0fde064eda2f21e3e,03/Jan/23 4:36 PM,03/Jan/23 4:44 PM,03/Jan/23 4:49 PM,,,0,Payment,thêm thông tin bắt buộc khi mua hàng,,Lập TT,638ee6f0fde064eda2f21e3e,,,,,,,,,NC-45,NC-46,,,,,,,đặt hàng được ,,,,,,,,,B9-215,Payment,,,như mong đơi ,,,,,0|i0028f:,,NC Sprint 3,,,,,,,,,Integratiom,"bắt buộc thêm thông tin :Tỉnh/Thành Phố ,Quận/Huyện ,Phường/Xã",Pass,,,To Do
Edit Customer - Cho phép cập nhật địa chỉ khách hàng,NC-43,10399,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:15 PM,03/Jan/23 4:16 PM,03/Jan/23 4:16 PM,,,0,EditAccount,Cho phép cập nhật địa chỉ khách hàng,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,B9-7,Edit Customer,,,Cập nhật lại địa chỉ của khách hàng,,,,,0|i0027z:,,NC Sprint 2,,,,,,,,,System,"Test case
Họ : abc
Tên: def
Công ty: acc
Địa chỉ: hcm
Quốc gia: Việt Nam
Số điện thoại:
0123456789",Pass,,,To Do
Edit Customer - Sau khi đăng nhập sẽ cho phép xem thông tin khách hàng,NC-42,10398,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 4:10 PM,03/Jan/23 4:16 PM,03/Jan/23 4:48 PM,,,0,EditAccount,Sau khi đăng nhập sẽ cho phép xem thông tin khách hàng,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Như mong đợi,,,,,,,,,B9-7,Edit Customer,,,Hiện ra bảng thông tin khách hàng,,,,,0|i0027r:,,NC Sprint 2,,,,,,,,,System,"Test case 
Đăng nhập
Email: g@gmail.com
Mật khẩu: 123456789",Pass,,,To Do
Forgot Passwork - Nhập mã xác minh gửi về từ email để đổi mật khẩu,NC-41,10397,Story,To Do,NC,N4_CD21CT3,software,Hậu Nguyễn,62980ab8417eb3006ab17b3d,,Medium,,,,HoangLam Nguyen,627c82d59bb660006995c19c,HoangLam Nguyen,627c82d59bb660006995c19c,03/Jan/23 3:56 PM,03/Jan/23 4:04 PM,03/Jan/23 4:06 PM,,,0,ChangePassword,Nhập mã xác minh gửi về từ email để đổi mật khẩu,,HoangLam Nguyen,627c82d59bb660006995c19c,,,,,,,,,,,,,,,,,Không như mong đợi,,,,,,,,,NC-7,Forgot password,,,"Chuyển qua trang nhập lại mật khẩu
Tiến hành thay đổi mật khẩu",,,,,0|i00272:i,,NC Sprint 2,,,,,,,,,System,"Test case
Nhập Email --> Bấm Gửi
",Skip,,,To Do
